%ARFF automatically created from Dataset

@RELATION test
@ATTRIBUTE trainortest {Test,Train}
@ATTRIBUTE speakernumber {Tim,Rich,Nick,Bill,Sarah,Andrew,Mike,David,Mark,Rose,Jo,Kate,Wendy,Sue,Penny}
@ATTRIBUTE sex {Male,Female}
@ATTRIBUTE feature0 NUMERIC
@ATTRIBUTE feature1 NUMERIC
@ATTRIBUTE feature2 NUMERIC
@ATTRIBUTE feature3 NUMERIC
@ATTRIBUTE feature4 NUMERIC
@ATTRIBUTE feature5 NUMERIC
@ATTRIBUTE feature6 NUMERIC
@ATTRIBUTE feature7 NUMERIC
@ATTRIBUTE feature8 NUMERIC
@ATTRIBUTE feature9 NUMERIC
@ATTRIBUTE class {hAd,hEd,hUd,hOd,hed,hud,hid,hod,hYd,had,hId}

@DATA
Test,Rich,Male,-3033,7,-1077,1266,196,1453,317,947,-324,-828,hId
Train,Andrew,Male,-3635,225,-394,1012,-1693,117,665,281,343,-3,hOd
Train,David,Male,-1332,848,-1665,97,-463,1522,-159,1101,-541,-5,hEd
Train,David,Male,-1737,1789,-1046,1071,-775,1041,-25,925,-452,7,hAd
Test,Sarah,Female,-2818,3685,-1413,-558,25,871,688,-144,-93,282,hOd
Train,Jo,Female,-2923,919,-231,-307,75,265,403,691,-1012,-157,hed
Test,Mike,Male,-2632,881,71,18,-75,33,-1128,177,339,1166,hOd
Train,Mark,Male,-4316,1147,88,593,-314,1316,-255,761,492,133,hud
Test,Sarah,Female,-264,1322,-111,861,26,-354,-425,83,-235,781,hEd
Train,Bill,Male,-2385,1241,272,-4,-692,16,-61,-189,744,88,had
Test,Rich,Male,-254,2925,-377,-745,-562,981,303,539,127,-959,hYd
Train,Mark,Male,-2052,1483,-488,41,-131,273,-112,-64,307,-8,hAd
Train,Kate,Female,-2497,1692,-607,2,-71,612,93,272,-6,-507,had
Train,Penny,Female,-2715,2325,701,239,-1426,-218,-317,1516,-162,-703,hOd
Train,Penny,Female,-2601,2735,-322,-255,-167,229,202,101,-871,-461,hYd
Train,Andrew,Male,-3684,1774,-1728,1611,1,1393,-193,554,245,-919,hud
Test,Sarah,Female,-4568,3344,-5,-92,-546,479,-168,1186,-565,-1025,hud
Train,Mark,Male,-2375,1642,308,255,-82,225,-92,874,367,-525,had
Train,Andrew,Male,-3712,1816,-1171,647,-767,1698,-347,92,159,-359,hUd
Test,Rich,Male,-2505,2358,-184,-792,-316,1363,302,-121,214,-622,had
Test,Sue,Female,-4083,2193,-492,695,251,423,-558,-123,-53,376,hUd
Train,Rose,Female,-3133,1983,-1398,254,-667,532,389,-178,-584,844,had
Train,Rose,Female,-5011,4976,-868,-1215,17,-18,543,154,-841,707,hud
Test,Tim,Male,-4319,1338,-549,1678,27,1922,-228,161,-47,-442,hud
Test,Mike,Male,-1784,-1074,-1661,1324,289,1303,924,1307,-346,-521,hid
Train,Bill,Male,-3088,1389,48,-216,-329,91,45,-75,101,-134,hed
Train,Bill,Male,-1672,328,-833,-577,-363,84,18,682,-124,-109,hEd
Train,Kate,Female,-298,129,-842,955,-491,572,267,692,84,-11,hed
Test,Rich,Male,-3661,1292,-433,34,98,363,246,911,-415,-507,hed
Test,Nick,Male,-319,3101,-1659,-182,-436,828,272,502,-857,-516,hOd
Train,Rose,Female,-3434,226,-1065,-122,-795,363,1403,-507,-375,15,hYd
Test,Wendy,Female,-3095,2851,-816,-396,-603,109,567,743,-677,52,hOd
Train,Penny,Female,-2812,1954,-661,109,-11,11,187,96,-1538,592,hed
Train,Penny,Female,-2081,2043,-521,578,-463,-246,-41,-162,-814,425,hAd
Train,Penny,Female,-376,-32,-24,1273,1751,1125,23,-723,-501,315,hid
Test,Sue,Female,-408,2242,-28,1876,72,-292,-537,-54,-663,238,hud
Train,Bill,Male,-2441,191,-814,255,411,1636,395,761,-5,-564,hId
Train,Penny,Female,-201,2164,-626,389,-24,-441,103,-27,-647,165,hAd
Train,Kate,Female,-3404,506,-591,1627,66,1456,68,381,-1494,-453,hId
Train,Jo,Female,-4129,2686,308,-125,117,393,199,308,-478,-909,hUd
Test,Sarah,Female,-344,3203,-698,-86,-542,1503,922,467,-183,-919,hod
Train,Andrew,Male,-3687,1784,-1593,1603,123,1424,-225,441,206,-714,hud
Test,Mike,Male,-2295,883,-619,-41,143,378,-602,335,-114,-391,hAd
Train,Rose,Female,-458,4116,-753,-849,516,498,117,181,-1256,-119,hUd
Train,David,Male,-1384,-321,-2266,937,-289,229,463,1096,-1436,-701,hid
Test,Rich,Male,-279,2665,36,-44,-604,811,98,723,134,-91,hYd
Train,Penny,Female,-3183,154,-413,923,1091,582,-447,-85,-904,693,hId
Test,Sue,Female,-3097,1385,-173,1392,-613,-143,-14,-565,-65,1129,hEd
Train,Andrew,Male,-3165,408,-971,1207,-298,1921,-215,723,-492,-425,hId
Test,Wendy,Female,-35,68,533,1876,363,542,-982,-671,-1006,1101,hid
Test,Rich,Male,-2434,2903,-1341,-411,372,843,-22,336,123,-747,had
Train,Kate,Female,-2656,1263,-527,464,-612,668,-16,857,-416,-596,had
Train,Penny,Female,-4247,-34,248,1372,1831,1167,87,-518,-316,347,hid
Test,Rich,Male,-3789,142,-372,568,123,185,78,1006,-722,-391,hed
Test,Rich,Male,-2742,2729,-129,-49,-573,868,7,771,53,-939,hYd
Test,Wendy,Female,-2627,2089,-1434,937,-615,43,-311,-203,38,933,hAd
Test,Mike,Male,-3989,3049,304,209,-126,-205,-735,862,551,1114,hod
Train,Kate,Female,-4788,3632,-71,3,366,-121,403,-16,124,-132,hud
Train,Kate,Female,-2859,2255,-676,98,-1086,41,732,305,-141,-636,hYd
Test,Wendy,Female,-271,1943,-1247,772,-345,107,-62,4,-322,1018,hAd
Test,Tim,Male,-3911,3703,-1965,132,-209,929,811,495,-142,-519,hod
Train,Mark,Male,-2007,1814,-581,-27,127,81,89,-16,115,-719,hAd
Train,Andrew,Male,-3473,2178,-82,706,-171,779,422,351,426,-267,hOd
Train,Penny,Female,-5069,2119,826,-274,576,145,308,1001,-1412,-306,hud
Test,Sue,Female,-3999,2138,295,1086,699,-127,-634,-4,-505,856,hId
Train,Penny,Female,-2982,2001,-915,188,35,467,-13,-689,-684,664,had
Train,Rose,Female,-4661,4235,-497,-1021,295,457,-19,345,-1355,62,hUd
Train,Kate,Female,-2952,777,-74,1311,424,853,-319,-82,-1456,616,hEd
Train,Jo,Female,-3128,28,955,1264,753,437,-841,-517,-473,0,hId
Train,David,Male,-157,1655,-104,116,-923,961,-231,955,-273,65,hAd
Test,Mike,Male,-3915,2158,781,643,-1023,598,-718,274,376,77,hUd
Train,Jo,Female,-339,-956,476,1547,658,1504,-65,-604,-295,616,hid
Train,Mark,Male,-145,199,-1127,-281,-372,1287,369,855,303,-385,hId
Train,Andrew,Male,-3543,1391,-122,699,-769,1579,-379,1158,181,-178,hUd
Test,Tim,Male,-4172,307,-781,516,-627,1006,531,441,-102,-456,hUd
Test,Sue,Female,-4763,1305,1231,1548,308,-152,-792,-124,-107,885,hid
Train,Penny,Female,-4107,217,206,-811,334,633,402,1097,-1327,-4,hUd
Test,Wendy,Female,-4145,2739,-115,907,669,478,-1183,-24,-887,-365,hud
Test,Sarah,Female,-339,3422,-718,-667,-871,788,959,555,-482,-724,hod
Train,Rose,Female,-4115,1856,-738,132,658,329,-252,-123,-53,456,hed
Test,Rich,Male,-3707,1486,-494,402,183,186,234,1029,-856,-408,hed
Train,Penny,Female,-3431,-5,-362,1173,159,956,162,-853,-364,84,hid
Test,Mike,Male,-153,29,-925,54,-565,1593,123,1117,338,26,hId
Test,Wendy,Female,-3706,3627,-889,-789,-93,1223,814,563,62,-449,hod
Train,David,Male,-1298,-295,-2433,955,-278,2252,285,915,-1569,-562,hid
Test,Rich,Male,-3989,3582,-11,374,-12,291,663,96,23,-477,hUd
Train,David,Male,-4333,2438,-219,1372,-761,306,594,-22,1103,19,hud
Test,Sue,Female,-3341,1714,-773,771,-976,625,78,-438,-84,607,hAd
Test,Tim,Male,-4048,3753,-115,-209,-53,871,445,716,-131,139,hod
Test,Sue,Female,-3963,2272,-534,977,329,514,-363,-425,-712,41,hUd
Train,Andrew,Male,-2635,2147,-1129,911,-1407,1095,-71,118,139,-685,hYd
Train,Penny,Female,-2335,2896,-295,-42,-645,351,12,447,-1126,11,had
Test,Sue,Female,-351,2535,-26,946,-72,159,-112,-657,-789,914,hed
Test,Wendy,Female,-3924,2726,414,-155,-2,893,-188,552,-507,-617,hUd
Train,David,Male,-1804,1556,-803,1388,-989,751,-29,963,-228,297,had
Train,Bill,Male,-4158,-342,9,109,56,955,395,-328,-152,-498,hid
Test,Mike,Male,-3835,3339,29,-126,-168,195,-368,1328,523,861,hod
Test,Sue,Female,-4756,1197,1431,154,262,-277,-741,75,-26,876,hid
Test,Wendy,Female,-3709,1665,138,1551,975,923,-396,-234,-1154,736,hId
Train,Jo,Female,-416,2814,557,604,584,477,-272,784,-999,-781,hud
Train,Andrew,Male,-2304,1784,-1506,981,-961,806,-294,-2,119,-76,hAd
Train,David,Male,-2447,1914,-208,1641,-1159,104,-539,158,58,786,hOd
Test,Tim,Male,-4094,3586,-845,-26,-538,964,666,647,-412,-477,hUd
Test,Nick,Male,-3,42,-1238,1529,187,2028,104,759,-118,-634,hid
Train,David,Male,-3763,3252,-262,152,-1684,-225,235,989,616,46,hod
Train,Rose,Female,-4316,1409,441,1819,5,-617,-633,-621,-671,1193,hId
Train,Mark,Male,-3246,712,39,82,-1352,1074,197,857,-56,485,hUd
Train,Mark,Male,-3299,173,187,121,-1251,796,-366,1091,493,436,hUd
Test,Mike,Male,-2696,3129,-52,294,-989,19,-66,1106,361,-396,hYd
Train,Mark,Male,-3145,863,416,699,-1378,892,2,89,221,834,hUd
Test,Mike,Male,-3073,1532,949,1541,-1058,272,-961,449,619,969,hOd
Train,Andrew,Male,-3582,2374,-358,1162,-1953,621,339,355,415,-259,hOd
Train,Penny,Female,-264,2704,-345,-23,-1649,64,275,952,-651,-571,hYd
Test,Mike,Male,-3888,3085,436,142,-1526,-52,-503,1085,511,976,hod
Train,Bill,Male,-2489,1773,-18,-152,-353,133,-186,207,788,-285,had
Train,Andrew,Male,-3665,337,-641,1791,-194,1686,-359,57,-676,-841,hid
Train,Andrew,Male,-3604,235,-836,1786,-153,1642,-96,488,-524,-1003,hid
Train,Jo,Female,-1566,93,-181,-155,-164,-277,144,-47,-694,282,hAd
Test,Nick,Male,-1929,777,-1415,598,-579,215,-61,733,-333,-235,hEd
Test,Wendy,Female,-3811,2123,278,1552,754,492,-584,-433,-988,652,hId
Train,Penny,Female,-221,661,-581,1139,238,74,-625,-366,-326,557,hEd
Train,Jo,Female,-2497,1607,-621,-446,-226,-152,116,122,-809,495,had
Train,Rose,Female,-3887,3172,-739,-69,-548,33,569,98,-1609,283,hOd
Train,Rose,Female,-4544,1672,643,1281,504,-803,-709,-229,-546,1058,hId
Test,Wendy,Female,-2924,2731,-1138,66,1,683,162,-399,-882,827,had
Test,Tim,Male,-2012,1134,-1029,205,661,359,456,372,-939,-613,hEd
Test,Rich,Male,-4047,2626,-597,823,-266,48,49,882,359,-203,hUd
Train,Penny,Female,-3096,103,-452,879,1067,497,-296,-67,-973,711,hId
Train,Penny,Female,-1926,2172,-571,257,-159,-493,27,-153,-673,-5,hAd
Test,Wendy,Female,-3546,1064,-6,1455,847,1117,73,-25,-1318,557,hId
Train,David,Male,-2308,2023,-203,1493,-1223,379,-481,1403,-45,402,hYd
Train,Penny,Female,-293,2014,-7,206,-88,153,142,-31,-1437,615,hed
Train,Kate,Female,-3518,716,-365,1788,584,1678,-109,-16,-1501,2,hId
Train,Jo,Female,-3278,324,1047,1152,725,168,-839,-381,-687,13,hId
Train,Rose,Female,-4902,449,-564,-536,-164,-298,842,-158,-906,358,hud
Test,Rich,Male,-2695,1119,-986,172,499,372,88,63,-721,-256,hEd
Train,Mark,Male,-2608,839,203,305,-851,78,-143,607,344,106,hed
Train,Bill,Male,-2554,1117,42,-22,-645,2,145,-327,66,73,had
Train,Kate,Female,-2898,2421,-81,-43,-1164,448,69,218,-78,-876,hYd
Test,Nick,Male,-4235,3775,-1593,814,288,805,-566,-247,-409,-556,hUd
Test,Tim,Male,-3209,185,-394,555,425,313,67,77,-163,-944,hed
Test,Nick,Male,-413,3291,-1424,359,-273,1297,-454,62,-527,-709,hUd
Train,Mark,Male,-3601,742,-238,332,-561,1275,-14,844,558,659,hud
Test,Nick,Male,-1948,1536,-1012,537,-1229,183,46,-2,-178,-576,hAd
Train,Bill,Male,-4944,3325,15,79,-593,1047,337,296,-453,371,hud
Train,Bill,Male,-205,65,-938,-37,82,1561,393,835,-29,-394,hId
Test,Nick,Male,-2045,819,-146,652,-701,352,-87,793,-567,-13,hEd
Test,Sue,Female,-3483,2628,-383,838,2,102,-162,-547,-791,1018,hed
Train,Jo,Female,-3533,2319,1085,247,-1053,-429,-26,1305,-243,-671,hOd
Test,Sarah,Female,-4283,2829,296,86,-544,501,-317,995,-34,-1113,hud
Train,Jo,Female,-3958,3922,15,-265,-1201,-249,202,1163,-49,-39,hod
Test,Sarah,Female,-2247,342,-887,-823,-297,774,185,-242,-79,46,hYd
Test,Wendy,Female,-3074,3062,-147,-379,233,789,-99,-135,-395,572,hYd
Test,Sue,Female,-4045,2377,-3,2002,826,-18,-768,-408,-787,156,hud
Test,Wendy,Female,-3946,2545,447,-1,43,788,-102,68,-637,-545,hUd
Test,Mike,Male,-4848,1115,932,1615,-589,592,-446,-366,-447,1294,hud
Test,Mike,Male,-3839,1248,83,982,-111,617,-751,84,309,1125,hUd
Test,Nick,Male,-3173,3166,-1501,-37,-437,974,179,556,-794,-549,hOd
Train,Bill,Male,-4102,209,414,423,985,1434,663,36,-784,-668,hid
Test,Sue,Female,-3206,1899,-933,733,261,565,-225,-339,-677,765,had
Train,Jo,Female,-3249,1042,589,1408,23,-821,-581,31,68,325,hEd
Train,Bill,Male,-2654,239,-8,7,-1063,304,-105,281,488,-382,hYd
Train,Rose,Female,-4149,1129,-8,1215,39,-474,-4,-343,-344,886,hEd
Test,Mike,Male,-2895,682,-151,218,-689,1118,-264,922,757,327,hed
Train,Mark,Male,-1891,988,-106,119,59,263,372,39,-376,-655,hEd
Train,Kate,Female,-4175,332,-446,988,-148,133,507,605,691,-462,hod
Train,Jo,Female,-3049,84,981,1193,761,495,-714,-466,-568,-149,hId
Test,Rich,Male,-2966,659,-1057,136,152,1435,197,926,-45,-637,hId
Test,Mike,Male,-3947,2102,305,462,-765,1037,-618,741,345,269,hUd
Train,Andrew,Male,-3783,1974,-12,606,-65,1504,-134,528,392,-58,hUd
Train,Jo,Female,-291,918,-138,-382,115,29,418,757,-898,-189,hed
Train,Rose,Female,-3001,2263,-1178,-116,-922,536,1286,-506,-566,-102,hYd
Train,Mark,Male,-2483,81,185,284,-917,73,-111,613,373,184,hed
Train,David,Male,-2274,1653,-226,1857,-971,327,-605,1121,121,291,hYd
Train,Andrew,Male,-4238,2437,36,1158,-2127,554,12,823,565,-293,hod
Test,Wendy,Female,-3919,2575,471,-64,-42,88,-128,612,-504,-539,hUd
Test,Wendy,Female,-3977,2976,309,-259,26,816,-317,492,-674,-659,hUd
Train,David,Male,-3834,3749,-183,1518,-1585,-281,-334,1191,425,-104,hod
Train,Rose,Female,-4173,2299,-298,-13,122,319,-388,-328,-48,99,hed
Train,Kate,Female,-3901,2485,-95,702,-47,1146,-109,1597,146,-1197,hUd
Train,Jo,Female,-3587,3128,885,-188,-1164,-215,51,1344,-641,-253,hOd
Train,Mark,Male,-1388,215,-1105,-295,-39,1282,356,816,292,-376,hId
Train,Penny,Female,-2514,558,-777,1299,27,247,-487,-653,-28,481,hEd
Test,Wendy,Female,-3572,228,52,1791,382,573,-961,-74,-936,1007,hid
Test,Mike,Male,-1707,1652,-1012,-622,-293,279,-276,477,5,-2,hAd
Test,Tim,Male,-246,-325,-1404,928,122,2049,274,532,-1113,-769,hid
Train,Bill,Male,-2788,3194,-1142,-313,-58,357,281,82,109,-858,hYd
Test,Tim,Male,-2706,207,-691,31,-745,266,-413,602,36,-713,hYd
Test,Rich,Male,-4052,35,-314,1734,127,1667,512,-377,-358,-855,hid
Train,Mark,Male,-2464,1968,26,78,-542,74,51,596,26,-437,had
Test,Nick,Male,-2765,2817,-202,213,-772,852,252,-193,-202,-93,hYd
Train,Bill,Male,-488,3064,6,434,-575,897,25,85,93,445,hud
Train,Andrew,Male,-2105,1035,-1705,231,-558,1554,-649,71,-855,-151,hEd
Train,Bill,Male,-2321,1303,32,-85,-278,1,-94,-283,852,22,had
Test,Wendy,Female,-3642,3582,-1031,-761,46,1255,841,512,-259,-447,hod
Test,Mike,Male,-2633,672,-372,439,437,907,-402,-4,-366,-741,hEd
Train,Rose,Female,-3417,1984,-1148,234,-778,411,494,13,-704,764,had
Test,Rich,Male,-2817,1268,-1127,707,399,406,289,319,-691,-379,hEd
Train,Bill,Male,-1912,1554,-1455,-17,-118,27,-37,163,-27,-474,hAd
Test,Wendy,Female,-3461,4,553,1854,386,568,-1003,-638,-104,1051,hid
Test,Sue,Female,-4689,1015,1312,1802,313,-405,-663,106,-325,838,hid
Test,Wendy,Female,-3119,3135,-1466,-352,-23,752,143,-231,-376,721,hYd
Test,Sue,Female,-3004,109,-328,1652,-679,287,-297,-695,-145,71,hEd
Test,Sarah,Female,-2851,1412,-184,1281,0,-146,-172,-419,-307,874,hEd
Train,Rose,Female,-504,5074,-1721,-264,279,176,3,-609,-177,422,hud
Test,Nick,Male,-1928,1578,-997,672,-1287,381,249,6,-167,-637,hAd
Train,Mark,Male,-255,2629,84,-159,-882,93,-19,961,32,-589,hYd
Train,Bill,Male,-4759,2696,104,697,-787,1114,205,-66,369,306,hud
Train,Bill,Male,-3941,3353,486,-506,-112,101,297,711,-78,648,hod
Test,Sue,Female,-2942,2642,-1217,384,-994,1467,134,-458,-465,646,hYd
Train,Penny,Female,-1885,2214,-673,147,-148,-4,252,-98,-874,245,hAd
Test,Wendy,Female,-366,3618,-1051,-748,8,1022,914,613,23,-448,hod
Test,Tim,Male,-2318,1097,-832,26,821,588,402,327,-852,-773,hEd
Train,David,Male,-1077,511,-2006,305,-584,1962,89,1406,-669,-27,hId
Test,Mike,Male,-2509,1326,354,663,-724,418,-496,713,638,-204,had
Train,Kate,Female,-4885,3967,-948,373,255,-121,43,-13,18,-1518,hud
Test,Rich,Male,-3024,326,35,-577,-1183,872,556,762,395,-665,hOd
Train,David,Male,-1501,1611,-1003,1156,-883,901,-169,862,-151,164,hAd
Train,Andrew,Male,-269,1652,-1261,674,-964,1449,-593,1005,-303,-541,hed
Test,Tim,Male,-2913,757,-819,1245,419,117,51,328,-96,-614,hId
Train,Rose,Female,-4058,1072,157,1136,385,-687,-583,-185,-3,1177,hEd
Test,Mike,Male,-1358,136,-1082,-148,-609,1464,144,1149,481,119,hId
Test,Nick,Male,-2973,36,-1273,1519,195,198,131,832,-1157,-547,hid
Test,Sue,Female,-3838,4252,-1621,-219,-281,856,154,133,-92,-454,hod
Test,Wendy,Female,-3176,2997,-1098,-371,-418,1318,48,472,-814,106,hOd
Test,Nick,Male,-4753,3421,-189,656,-984,1443,-652,546,123,-326,hud
Test,Tim,Male,-4039,3689,-1007,-139,-542,587,535,465,194,168,hod
Train,Rose,Female,-5034,4993,-1633,-285,398,181,-211,-508,-283,304,hud
Train,Mark,Male,-2431,1873,208,123,-634,178,4,612,446,-562,had
Test,Tim,Male,-3329,1788,-517,597,503,278,121,176,-159,-98,hed
Test,Mike,Male,-4813,1042,887,1661,-534,747,-513,-448,-412,1214,hud
Train,Penny,Female,-508,2241,971,-374,501,226,144,851,-1319,-3,hud
Train,Penny,Female,-2558,755,-66,1366,38,-11,-443,-531,-62,418,hEd
Train,Jo,Female,-2942,2091,-353,-364,-61,401,864,191,-764,-235,hYd
Test,Rich,Male,-4602,3043,-959,828,-298,315,423,57,387,-617,hud
Test,Nick,Male,-4074,4187,-555,52,-1603,73,-61,981,249,-25,hod
Test,Mike,Male,-3375,1779,-822,382,-19,845,123,767,223,-337,hed
Train,Andrew,Male,-3593,29,-782,1707,-175,1662,-137,493,-492,-926,hid
Test,Wendy,Female,-3451,2257,-845,432,486,266,-215,6,-1082,759,hed
Train,Kate,Female,-2511,1511,-555,226,-735,631,-6,52,-138,-651,had
Test,Sue,Female,-2964,1154,-373,1511,-583,152,-12,-949,-54,116,hEd
Test,Sarah,Female,-2411,385,-1405,-302,-398,1069,216,-291,-1116,1043,hYd
Test,Sarah,Female,-2263,3344,-1165,-625,-159,926,13,-33,-783,31,hYd
Test,Tim,Male,-2378,1568,-243,407,-428,229,-293,297,372,-512,had
Train,Penny,Female,-2665,1633,-384,-111,-1,234,33,478,-1558,219,hed
Train,Kate,Female,-3777,2064,-983,846,-373,96,-4,1331,247,-109,hUd
Test,Wendy,Female,-3584,1252,-62,1646,787,1134,96,-292,-1133,472,hId
Train,Bill,Male,-4136,3582,-407,-38,-687,1031,491,157,305,28,hUd
Test,Rich,Male,-3015,2219,996,-455,-1514,47,864,468,657,-343,hOd
Test,Wendy,Female,-2795,1957,-1259,79,-274,78,-114,5,-309,1142,hAd
Test,Nick,Male,-2029,698,-1482,813,-681,422,16,751,-3,-237,hEd
Train,Jo,Female,-3682,3672,41,-508,-905,28,492,654,-722,-318,hOd
Train,Mark,Male,-1814,923,-931,12,425,554,237,426,-184,-727,hEd
Test,Mike,Male,-2484,559,624,1951,-646,381,-1106,36,24,1291,hOd
Test,Tim,Male,-3977,3684,-1242,-364,-217,594,759,6,69,-25,hod
Train,David,Male,-3549,1905,-509,1963,-12,847,-157,842,625,-586,hUd
Test,Sue,Female,-34,3441,-1805,814,-162,1445,-11,-499,-1201,-46,hOd
Test,Mike,Male,-3108,926,-389,249,-461,816,-226,818,387,303,hed
Train,Bill,Male,-1895,-12,-97,-152,-161,1509,487,809,44,-264,hId
Train,Andrew,Male,-3639,418,-67,1779,-168,1627,-388,529,-874,-814,hid
Test,Mike,Male,-2499,119,-82,346,347,1696,245,689,-84,-596,hId
Train,David,Male,-252,152,-959,1296,-1103,1149,-268,1249,92,-682,hed
Test,Mike,Male,-1969,835,-671,-27,28,4,-444,53,61,-343,hAd
Train,Andrew,Male,-212,894,-1576,147,-707,1559,-579,676,-809,-49,hEd
Train,David,Male,-1012,516,-2041,32,-634,1969,41,1414,-687,47,hId
Test,Nick,Male,-3711,1377,-584,1428,-33,1062,-127,328,-1092,-565,hId
Test,Tim,Male,-2458,1586,-359,376,-244,134,-163,298,444,-711,had
Test,Rich,Male,-3548,1611,-85,374,168,318,463,863,-1131,-334,hed
Test,Sarah,Female,-3292,2595,-578,42,-233,391,-241,437,-541,-21,hed
Train,Kate,Female,-2591,1809,-659,-16,-673,588,84,182,-94,-372,had
Train,Mark,Male,-2058,-61,-1497,696,72,1802,626,1303,-192,-538,hid
Test,Nick,Male,-2785,2792,-1924,225,-985,1076,7,-71,-257,-135,hYd
Test,Nick,Male,-2691,2111,-1067,174,-649,431,-17,655,-498,-292,had
Test,Nick,Male,-3297,288,-859,-301,-102,798,288,855,-528,-662,hOd
Train,Penny,Female,-3025,2711,-147,-34,-134,49,364,1099,-102,-652,hOd
Test,Mike,Male,-3366,-826,-405,1643,603,1226,524,293,-858,-668,hid
Test,Sue,Female,-3065,1781,-915,698,175,662,-86,-361,-774,951,had
Train,Bill,Male,-1856,63,-1011,-238,-152,1461,572,775,154,-31,hId
Train,David,Male,-2125,1952,-415,1458,-985,52,-344,1249,-37,145,had
Test,Tim,Male,-2855,1587,-3,202,165,445,207,-67,-13,-712,had
Test,Tim,Male,-2957,596,-756,89,58,836,543,36,-232,-579,hId
Train,Bill,Male,-2051,1508,-1641,-58,-102,346,-21,109,-147,-298,hAd
Train,David,Male,-1891,1776,-518,1461,-105,567,-307,1152,-239,325,had
Train,Kate,Female,-2906,1102,-491,575,-386,771,-134,977,-54,-604,had
Train,Jo,Female,-2976,1033,-222,-99,81,52,479,517,-1105,-125,hed
Train,Jo,Female,-4497,3018,609,115,673,709,-3,861,-704,-1038,hud
Train,Rose,Female,-3622,988,-1108,685,-693,754,442,166,-458,738,hAd
Train,Bill,Male,-3985,3614,584,-42,-1105,-174,348,885,-165,65,hod
Train,Jo,Female,-4442,2607,596,191,636,679,-14,774,-828,-1122,hud
Train,Kate,Female,-3781,-11,102,1115,1036,651,615,-1082,-1272,5,hid
Test,Sue,Female,-3985,2192,-426,2163,1114,16,-846,-468,-858,37,hud
Train,Jo,Female,-2846,101,-219,-83,91,76,442,509,-1181,-21,hed
Train,Penny,Female,-2488,2822,-239,-33,-1355,284,101,934,-966,-31,hYd
Train,Penny,Female,-2512,2826,-171,-385,-1495,381,67,899,-902,-412,hYd
Test,Sue,Female,-4711,1166,1244,1746,311,-305,-691,-137,-288,1023,hid
Train,Bill,Male,-2922,1516,-2,-353,-464,1184,383,-175,-346,-33,hed
Train,Penny,Female,-4964,278,474,47,417,-328,334,474,-126,-221,hud
Train,Bill,Male,-3105,2916,-207,31,-897,21,-229,256,1073,-65,hOd
Train,Bill,Male,-267,2696,-231,-28,-1014,486,-137,448,285,-482,hYd
Test,Sarah,Female,-246,3706,-1304,-339,-487,1125,187,-211,-1068,944,hYd
Train,Mark,Male,-353,1268,903,1887,-1279,8,-1441,657,873,1042,hod
Train,Bill,Male,-1372,-3,-1003,-388,-471,1141,654,823,558,43,hId
Test,Sue,Female,-4013,2101,295,1292,45,-24,-565,-588,-343,695,hId
Train,Bill,Male,-4676,2537,75,73,-933,1493,49,76,254,276,hud
Train,Rose,Female,-4471,4461,-1887,-799,719,938,239,342,-1036,-6,hod
Train,Rose,Female,-4065,2876,-856,-221,-533,232,855,633,-1452,272,hOd
Train,Bill,Male,-3082,1633,-118,-147,-484,1176,-86,-72,86,-564,hed
Test,Wendy,Female,-3674,1513,38,1604,907,1045,-166,-295,-113,594,hId
Train,Mark,Male,-1507,-457,-1728,256,-81,1571,556,1291,121,-456,hid
Test,Mike,Male,-2625,1551,298,324,-105,746,67,603,342,-413,had
Train,David,Male,-3972,2279,-62,954,-109,719,717,3,1309,171,hud
Test,Sue,Female,-3591,278,-301,812,-8,-19,-268,-564,-788,948,hed
Test,Mike,Male,-3366,1952,-898,258,282,835,29,681,431,-461,hed
Train,Andrew,Male,-2859,1627,-114,769,-948,139,-608,956,-204,-727,hed
Train,Kate,Female,-2685,1971,-857,33,-638,484,143,159,-218,-343,had
Train,Rose,Female,-5143,2051,1216,1898,-555,-466,-842,11,461,193,hid
Train,Penny,Female,-2708,2396,728,336,-1437,-344,-411,1469,-22,-717,hOd
Train,Bill,Male,-3092,3014,-307,-16,-956,195,-227,367,958,-92,hOd
Test,Rich,Male,-4805,3228,-501,602,-532,745,9,445,756,-42,hud
Train,Mark,Male,-1656,-496,-1719,363,-2,1637,535,1319,-12,-49,hid
Test,Sarah,Female,-2489,2379,-523,-158,-178,406,198,59,-589,-256,had
Train,David,Male,-128,798,-1647,968,-418,1609,-31,1224,-374,44,hEd
Train,David,Male,-2562,1361,-94,1333,-1047,1208,-316,1055,354,-77,hed
Train,Kate,Female,-3389,2762,-71,-26,-641,112,775,443,-11,-979,hOd
Test,Nick,Male,-4069,4205,-614,-6,-1462,476,381,589,405,-259,hod
Test,Sue,Female,-3567,2081,-579,845,126,381,-179,-51,-846,987,had
Test,Sue,Female,-3194,1589,-774,814,-1087,618,218,-45,-3,526,hAd
Train,Bill,Male,-1804,431,-1,-427,-94,848,84,636,-275,-214,hEd
Train,Kate,Female,-3462,2648,-447,0,-416,767,569,-72,-8,-798,hOd
Train,Kate,Female,-3046,1462,-823,935,-44,849,85,865,-178,-954,hed
Test,Sarah,Female,-349,-474,187,1747,733,1307,-816,-787,-222,41,hid
