%ARFF automatically created from Dataset

@RELATION test
@ATTRIBUTE a1 {b,a,?}
@ATTRIBUTE a2 NUMERIC
@ATTRIBUTE a3 NUMERIC
@ATTRIBUTE a4 {u,y,l,?}
@ATTRIBUTE a5 {g,p,gg,?}
@ATTRIBUTE a6 {e,q,aa,c,i,w,ff,d,m,k,x,cc,j,?,r}
@ATTRIBUTE a7 {v,h,bb,ff,n,dd,j,z,?,o}
@ATTRIBUTE a8 NUMERIC
@ATTRIBUTE a9 {t,f}
@ATTRIBUTE a10 {t,f}
@ATTRIBUTE a11 NUMERIC
@ATTRIBUTE a12 {f,t}
@ATTRIBUTE a13 {g,s,p}
@ATTRIBUTE a14 NUMERIC
@ATTRIBUTE a15 NUMERIC
@ATTRIBUTE class {+,-}

@DATA
a,1758,9,u,g,aa,v,1375,t,f,0,t,g,0,0,+
b,2192,54,y,p,x,v,4,t,t,1,t,g,840,59,+
b,2617,835,u,g,cc,v,1165,f,f,0,f,g,100,0,-
b,2392,585,y,p,cc,h,125,f,f,0,f,g,240,1,-
b,4425,11,y,p,d,v,15,t,f,0,f,s,0,0,-
a,2108,5,y,p,ff,ff,0,f,f,0,f,g,0,0,-
b,1833,121,y,p,e,dd,0,f,f,0,f,g,100,0,-
b,2000,125,y,p,k,v,125,f,f,0,f,g,140,4,-
b,3775,7,u,g,q,h,115,t,t,7,t,g,300,5,-
b,2042,1835,u,g,c,v,225,t,t,1,f,g,100,150,+
b,2867,145,u,g,d,v,125,f,f,0,f,g,0,286,-
b,2567,125,u,g,cc,v,121,t,t,67,t,g,140,258,+
b,3242,3,u,g,d,v,165,f,f,0,t,g,120,0,-
b,1808,675,y,p,m,v,4,f,f,0,f,g,140,0,-
b,3517,45,u,g,x,h,575,f,f,0,t,s,711,0,+
b,3408,65,u,g,aa,v,125,t,f,0,t,g,443,0,-
b,2692,225,u,g,i,bb,5,f,f,0,t,g,640,4000,-
b,5250,65,u,g,k,v,629,t,t,15,f,g,0,11202,+
b,?,3,y,p,i,bb,7,f,f,0,f,g,0,1,-
b,3358,335,y,p,cc,v,85,f,f,0,f,g,180,0,-
a,3825,6,u,g,k,v,1,t,f,0,t,g,0,0,+
a,1950,165,u,g,q,v,4,f,f,0,t,g,380,0,-
b,2308,115,u,g,i,v,35,t,t,9,f,g,56,742,+
a,1792,1021,u,g,ff,ff,0,f,f,0,f,g,0,50,-
a,4667,46,u,g,cc,h,415,t,t,11,t,g,440,6,+
b,2917,35,u,g,w,v,35,t,t,3,t,g,329,0,-
b,3142,155,u,g,c,v,5,t,f,0,f,g,120,0,-
a,2275,6165,u,g,aa,v,165,f,f,0,f,g,220,1000,-
a,2767,15,u,g,m,v,2,t,f,0,f,s,368,0,-
b,3058,271,y,p,m,v,125,f,f,0,t,s,80,0,-
b,2783,154,u,g,w,v,375,t,t,5,t,g,100,3,+
b,2458,125,u,g,w,v,875,t,f,0,t,g,260,0,-
b,1817,246,u,g,c,n,96,f,t,2,t,g,160,587,-
b,2158,79,y,p,cc,v,665,f,f,0,f,g,160,0,-
a,3067,12,u,g,c,v,2,t,t,1,f,g,220,19,+
a,2617,2,u,g,j,j,0,f,f,0,t,g,276,1,-
b,3350,175,u,g,x,h,45,t,t,4,t,g,253,857,+
b,2167,1165,y,p,k,v,25,t,t,1,f,g,180,20,-
b,2208,83,u,g,c,h,2165,f,f,0,t,g,128,0,+
b,3633,2125,y,p,w,v,85,t,t,1,f,g,50,1187,+
a,6058,165,u,g,q,v,11,t,f,0,t,g,21,10561,+
b,2042,7,u,g,c,v,1625,t,t,3,f,g,200,1391,+
b,2942,125,u,g,w,v,175,f,f,0,f,g,200,0,-
b,4858,205,y,p,k,v,25,t,t,11,f,g,380,2732,+
a,2408,5,u,g,q,h,125,t,t,1,f,g,0,678,+
b,1958,585,u,g,ff,ff,0,f,t,3,f,g,350,769,-
b,3667,4415,y,p,k,v,25,t,t,10,t,g,320,0,+
a,2850,304,y,p,x,h,254,t,t,1,f,g,70,0,+
b,3183,25,u,g,aa,v,75,t,f,0,t,g,523,0,-
b,2550,375,u,g,m,v,25,t,t,3,f,g,260,15108,+
b,1750,22,l,gg,ff,o,0,f,f,0,t,p,450,100000,+
a,2067,3,u,g,q,v,165,t,t,3,f,g,100,6,+
b,3517,25125,u,g,x,h,1625,t,t,1,t,g,515,500,+
a,5758,2,u,g,ff,ff,65,f,t,1,f,g,0,10,-
b,2783,15,u,g,w,v,225,f,t,1,t,g,100,3,-
b,2583,12835,u,g,cc,v,5,f,f,0,f,g,0,2,-
b,4317,225,u,g,i,bb,75,t,f,0,f,g,560,0,-
a,2267,7,u,g,c,v,165,f,f,0,f,g,160,0,-
b,3950,1625,u,g,c,v,15,f,f,0,f,g,0,316,-
b,2442,2,u,g,e,dd,165,f,t,2,f,g,320,1300,-
b,5600,125,u,g,k,h,8,t,f,0,t,g,24,2028,+
b,2517,35,u,g,cc,v,625,t,t,7,f,g,0,7059,+
b,3417,154,u,g,cc,v,154,t,t,1,t,g,520,50000,+
b,?,105,u,g,x,v,65,t,f,0,f,g,0,0,+
b,3458,0,?,?,?,?,0,f,f,0,f,p,?,0,-
a,2950,1085,y,p,x,v,1,f,f,0,f,g,280,13,-
a,?,35,u,g,d,v,3,t,f,0,t,g,300,0,-
a,2358,83,u,g,q,v,415,f,t,1,t,g,200,11,-
a,5708,195,u,g,c,v,55,t,t,7,f,g,0,3000,+
b,2675,2,u,g,d,v,75,f,f,0,t,g,80,0,-
a,1692,5,u,g,i,v,165,f,t,6,t,g,240,35,-
b,2533,58,u,g,c,v,29,t,t,7,t,g,96,5124,+
b,2817,125,y,p,k,v,85,f,f,0,f,g,216,2100,-
a,2075,954,u,g,i,v,4,f,f,0,f,g,200,1000,-
b,2875,15,y,p,c,v,15,t,f,0,t,g,0,225,-
b,3558,75,u,g,k,v,15,f,f,0,t,g,231,0,-
b,2208,2335,u,g,k,v,75,f,f,0,f,g,180,0,-
b,3575,2415,u,g,w,v,125,f,t,2,f,g,220,1,-
b,3917,171,u,g,x,v,125,t,t,5,t,g,480,0,+
b,2192,5,u,g,c,v,125,f,f,0,f,g,360,0,-
b,4833,12,u,g,m,v,16,t,f,0,f,s,110,0,+
b,1725,3,u,g,k,v,4,f,f,0,t,g,160,40,-
a,2175,175,y,p,j,j,0,f,f,0,f,g,160,0,-
b,7483,19,y,p,ff,ff,4,f,t,2,f,g,0,351,-
b,2567,325,u,g,c,h,229,f,t,1,t,g,416,21,-
a,3308,4625,u,g,q,h,1625,t,t,2,f,g,0,0,+
b,3867,21,u,g,k,v,85,t,f,0,t,g,280,0,+
?,4533,1,u,g,q,v,125,f,f,0,t,g,263,0,-
a,2475,3,u,g,q,h,1835,t,t,19,f,g,0,500,+
a,3233,54,u,g,cc,v,4,t,f,0,f,g,440,11177,+
b,4517,15,u,g,c,v,25,t,f,0,t,g,140,0,-
b,2267,165,u,g,c,j,225,f,f,0,t,s,0,0,+
a,3325,25,y,p,c,v,25,f,f,0,t,g,0,2,-
a,4033,8125,y,p,k,v,165,f,t,2,f,g,?,18,-
b,3817,10125,u,g,x,v,25,t,t,6,f,g,520,196,+
a,2350,9,u,g,q,v,85,t,t,5,t,g,120,0,+
b,2183,11,u,g,x,v,29,t,t,6,f,g,121,0,+
a,2950,46,u,g,k,v,54,t,t,4,f,g,380,500,+
a,2500,1233,u,g,cc,h,35,t,t,6,f,g,400,458,+
a,2175,1175,u,g,c,v,25,f,f,0,t,g,180,0,-
b,2517,3,u,g,c,v,125,f,t,1,f,g,0,22,-
b,1850,2,u,g,i,v,15,t,t,2,f,g,120,300,+
b,2267,1585,y,p,w,v,3085,t,t,6,f,g,80,0,+
b,2325,12625,u,g,c,v,125,f,t,2,f,g,0,5552,-
b,3317,304,y,p,c,h,204,t,t,1,t,g,180,18027,+
b,5233,1375,y,p,c,h,946,t,f,0,t,g,200,100,-
b,5183,204,y,p,ff,ff,15,f,f,0,f,g,120,1,-
b,3417,525,u,g,w,v,85,f,f,0,t,g,290,6,+
b,2008,25,u,g,q,v,125,f,f,0,f,g,200,0,-
a,2817,375,u,g,q,v,585,t,t,4,f,g,80,0,+
b,3125,2835,u,g,ff,ff,0,f,t,5,f,g,176,146,-
a,3375,75,u,g,k,bb,1,t,t,3,t,g,212,0,-
a,2458,67,u,g,aa,h,175,t,f,0,f,g,400,0,-
b,4142,5,u,g,q,h,5,t,t,6,t,g,470,0,+
b,2208,1146,u,g,k,v,1585,f,f,0,t,g,100,1212,-
a,4583,105,u,g,q,v,5,t,t,7,t,g,0,0,+
a,5250,7,u,g,aa,h,3,f,f,0,f,g,0,0,-
b,3283,25,u,g,cc,h,275,t,t,6,f,g,160,2072,+
b,2317,0,?,?,?,?,0,f,f,0,f,p,?,0,+
b,2767,2,u,g,x,h,1,t,t,4,f,g,140,7544,+
b,2458,125,u,g,c,v,25,f,f,0,f,g,110,0,-
b,1708,85,y,p,c,v,4,f,f,0,f,g,140,722,-
b,2117,0,u,g,c,v,5,f,f,0,t,s,0,0,-
b,1917,4,y,p,i,v,1,f,f,0,t,g,360,1000,-
a,3025,55,u,g,k,v,55,f,f,0,t,s,100,0,-
b,?,625,u,g,k,v,25,f,f,0,f,g,380,2010,-
b,2558,335,u,g,k,h,35,f,f,0,t,g,340,0,-
b,2408,875,u,g,m,v,85,f,t,4,f,g,254,1950,-
b,2317,0,u,g,cc,v,85,t,f,0,f,g,0,0,+
a,3217,146,u,g,w,v,1085,t,t,16,f,g,120,2079,+
a,4700,13,u,g,i,bb,5165,t,t,9,t,g,0,0,+
b,4875,85,u,g,c,h,125,t,t,9,f,g,181,1655,+
b,3125,1125,u,g,ff,ff,0,f,t,1,f,g,96,19,-
b,5433,675,u,g,c,h,2625,t,t,11,t,g,0,284,+
b,1808,55,u,g,k,v,5,t,f,0,f,g,80,0,+
b,4317,5,u,g,i,bb,225,f,f,0,t,g,141,0,-
a,5683,425,y,p,ff,ff,5,f,f,0,t,g,0,4,-
b,1375,4,y,p,w,v,175,t,t,2,t,g,120,1000,+
b,3108,3085,u,g,c,v,25,f,t,2,t,g,160,41,-
a,2250,415,u,g,i,v,335,f,f,0,t,s,144,0,-
b,3275,2335,u,g,d,h,575,f,f,0,t,g,292,0,-
b,3917,1625,u,g,c,v,15,t,t,10,f,g,186,4700,+
b,3958,5,u,g,ff,ff,0,f,t,2,f,g,17,1,-
b,3417,917,u,g,c,v,45,t,t,12,t,g,0,221,+
?,4083,35,u,g,i,bb,5,f,f,0,f,s,1160,0,-
b,2783,1,y,p,d,h,3,f,f,0,f,g,176,537,-
b,3992,621,u,g,q,v,4,t,t,1,f,g,200,300,+
b,1617,4,u,g,c,v,4,f,f,0,f,g,0,0,+
b,2525,1,u,g,aa,v,5,f,f,0,f,g,200,0,-
a,2842,35,u,g,w,v,835,t,f,0,f,s,280,0,+
b,3317,1,u,g,x,v,75,t,t,7,t,g,340,4071,+
a,1825,10,u,g,w,v,1,f,t,1,f,g,120,1,-
b,3992,54,y,p,aa,v,5,t,t,3,f,g,200,1000,+
b,3033,5,u,g,d,h,85,f,f,0,t,s,252,0,-
b,2250,115,y,p,m,v,15,f,f,0,t,g,0,4000,-
a,2225,125,y,p,ff,ff,325,f,f,0,f,g,280,0,-
a,2083,85,u,g,c,v,165,f,f,0,f,g,0,351,-
a,3600,1,u,g,c,v,2,t,t,11,f,g,0,456,+
a,2867,104,u,g,c,v,25,t,t,5,t,g,300,1430,+
b,2500,12,u,g,k,v,225,t,t,2,t,g,120,5,-
a,3908,4,u,g,c,v,3,f,f,0,f,g,480,0,-
a,2342,79,y,p,q,v,15,t,t,2,t,g,80,400,+
b,3517,25,u,g,k,v,45,t,t,7,f,g,150,1270,+
b,2625,154,u,g,w,v,125,f,f,0,f,g,100,0,-
a,2517,2875,u,g,x,h,875,t,f,0,f,g,360,0,+
a,1958,665,y,p,c,v,1,f,t,1,f,g,2000,2,-
b,2567,29,y,p,c,v,15,f,f,0,t,g,160,0,-
a,1958,665,u,g,w,v,1665,f,f,0,f,g,220,5,-
a,2050,11835,u,g,c,h,6,t,f,0,f,g,340,0,+
b,2667,425,u,g,cc,v,429,t,t,1,t,g,120,0,+
b,4425,5,u,g,m,v,1075,t,f,0,f,s,400,0,-
b,4308,375,y,p,c,v,375,t,t,8,t,g,300,162,+
b,2775,129,u,g,k,h,25,f,f,0,t,s,140,0,-
b,2183,25,u,g,d,h,665,t,f,0,t,g,0,0,+
b,5075,585,u,g,ff,ff,0,f,f,0,f,g,145,0,-
b,4483,7,y,p,c,v,1625,f,f,0,f,g,160,2,-
a,1975,75,u,g,c,v,795,t,t,5,t,g,140,5,-
b,3292,25,u,g,aa,v,175,f,t,2,t,g,720,0,-
a,2658,254,y,p,ff,ff,0,f,f,0,t,g,180,60,-
b,3825,10125,y,p,k,v,125,f,f,0,f,g,160,0,-
b,4058,15,u,g,i,bb,0,f,f,0,f,s,300,0,-
b,2050,10,y,p,c,v,25,t,f,0,f,s,40,0,+
b,6542,11,u,g,e,z,20,t,t,7,t,g,22,0,+
b,2925,13,u,g,d,h,5,f,f,0,f,g,228,0,-
b,3075,1585,u,g,d,v,585,f,f,0,t,s,0,0,-
b,2567,221,y,p,aa,v,4,t,f,0,f,g,188,0,-
a,4433,0,u,g,c,v,25,t,f,0,f,g,0,0,+
b,2108,10085,y,p,e,h,125,f,f,0,f,g,260,0,-
b,3158,75,y,p,aa,v,35,f,f,0,t,g,320,0,-
b,3750,175,y,p,c,bb,25,t,f,0,t,g,164,400,-
a,5650,16,u,g,j,ff,0,t,t,15,f,g,0,247,+
?,2450,1275,u,g,c,bb,475,t,t,2,f,g,73,444,+
b,2042,1085,u,g,q,v,15,f,f,0,f,g,108,7,-
b,2408,9,u,g,aa,v,25,f,f,0,t,g,0,0,-
b,3208,4,y,p,cc,v,15,f,f,0,t,g,120,0,-
b,2308,25,u,g,c,v,1085,t,t,11,t,g,60,2184,+
a,2733,1665,u,g,ff,ff,0,f,f,0,f,g,340,1,-
b,2825,875,u,g,m,v,96,t,t,3,t,g,396,0,+
b,3667,2,u,g,i,v,25,f,f,0,t,g,221,0,-
b,2983,125,y,p,k,v,25,f,f,0,f,g,224,0,-
b,3650,425,u,g,q,v,35,f,f,0,f,g,454,50,-
a,4033,754,y,p,q,h,8,t,t,14,f,g,0,2300,+
b,3717,4,u,g,c,bb,5,t,f,0,t,s,280,0,-
b,5242,15,u,g,d,v,375,f,f,0,t,g,0,350,-
b,2117,875,y,p,c,h,25,f,f,0,f,g,280,204,-
a,5867,446,u,g,q,h,304,t,t,6,f,g,43,560,+
b,2133,75,u,g,aa,v,1415,t,t,1,f,g,80,9800,+
b,2867,9335,u,g,q,h,5665,t,t,6,f,g,381,168,+
b,2358,835,u,g,i,h,85,f,f,0,t,g,220,5,-
b,3958,13915,u,g,w,v,8625,t,t,6,t,g,70,0,+
b,6008,145,u,g,ff,ff,18,t,t,15,t,g,0,1000,+
a,2283,229,u,g,q,h,229,t,t,7,t,g,140,2384,+
a,5333,165,u,g,ff,ff,0,f,f,0,t,s,62,27,-
b,3525,3165,u,g,x,h,375,t,f,0,t,g,680,0,-
b,2392,665,u,g,c,v,165,f,f,0,f,g,100,0,+
a,1858,10,u,g,d,v,415,f,f,0,f,g,80,42,-
b,3425,3,u,g,cc,h,7415,t,f,0,t,g,0,0,+
b,4117,404,u,g,cc,h,7,t,t,8,f,g,320,0,+
a,2083,3,u,g,aa,v,4,t,f,0,f,g,100,0,+
b,3750,835,u,g,e,v,4,f,f,0,f,g,120,5,-
a,2558,0,?,?,?,?,0,f,f,0,f,p,?,0,+
?,2042,75,u,g,k,v,15,t,t,1,f,g,160,234,+
b,2017,925,u,g,c,v,1665,t,t,3,t,g,40,28,+
a,2067,1835,u,g,q,v,2085,t,t,5,f,g,220,2503,+
a,5217,0,y,p,ff,ff,0,f,f,0,f,g,0,0,-
b,4217,504,u,g,q,h,1275,t,f,0,t,g,92,0,+
b,2308,25,u,g,ff,ff,85,f,f,0,t,g,100,4208,-
a,?,15,u,g,ff,ff,0,f,t,2,t,g,200,105,-
b,5858,271,u,g,c,v,2415,f,f,0,t,g,320,0,-
b,2450,13335,y,p,aa,v,4,f,f,0,t,g,120,475,-
b,1708,329,u,g,i,v,335,f,f,0,t,g,140,2,-
